user_id,timestamp,session_sequence,is_attack
user_0425,2025-09-04 00:10:27.154991,"LOGIN,ADD_RECIPIENT,TRANSFER_LARGE,LOGOUT",1
user_0385,2025-09-04 00:10:27.154991,"LOGIN,ADD_RECIPIENT,TRANSFER_LARGE,LOGOUT",1
user_0465,2025-09-04 00:12:27.154991,"LOGIN,VIEW_BALANCE,LOGOUT",1
user_0164,2025-09-04 00:12:27.154991,"LOGIN,ADD_RECIPIENT,TRANSFER_LARGE,LOGOUT",1
user_0206,2025-09-04 00:14:27.154991,"LOGIN,ADD_RECIPIENT,TRANSFER_LARGE,LOGOUT",1
user_0476,2025-09-04 00:15:27.154991,"LOGIN,ADD_RECIPIENT,TRANSFER_LARGE,LOGOUT",1
user_0043,2025-09-04 00:17:27.154991,"LOGIN,ADD_RECIPIENT,TRANSFER_LARGE,LOGOUT",1
user_0299,2025-09-04 00:17:27.154991,"LOGIN,ADD_RECIPIENT,TRANSFER_LARGE,LOGOUT",1
user_0174,2025-09-04 00:18:27.154991,"LOGIN,VIEW_BALANCE,LOGOUT",1
user_0284,2025-09-04 00:19:27.154991,"LOGIN,ADD_RECIPIENT,TRANSFER_LARGE,LOGOUT",1
user_0247,2025-09-04 00:19:27.154991,"LOGIN,ADD_RECIPIENT,TRANSFER_LARGE,LOGOUT",1
user_0446,2025-09-04 00:20:27.154991,"LOGIN,ADD_RECIPIENT,TRANSFER_LARGE,LOGOUT",1
user_0040,2025-09-04 00:22:27.154991,"LOGIN,ADD_RECIPIENT,TRANSFER_LARGE,LOGOUT",1
user_0035,2025-09-04 00:22:27.154991,"LOGIN,VIEW_BALANCE,LOGOUT",1
user_0280,2025-09-04 00:24:27.154991,"LOGIN,VIEW_BALANCE,LOGOUT",1
user_0313,2025-09-04 00:25:27.154991,"LOGIN,VIEW_BALANCE,LOGOUT",1
user_0286,2025-09-04 00:26:27.154991,"LOGIN,ADD_RECIPIENT,TRANSFER_LARGE,LOGOUT",1
user_0443,2025-09-04 00:27:27.154991,"LOGIN,ADD_RECIPIENT,TRANSFER_LARGE,LOGOUT",1
user_0133,2025-09-04 00:28:27.154991,"LOGIN,ADD_RECIPIENT,TRANSFER_LARGE,LOGOUT",1
user_0006,2025-09-04 00:30:27.154991,"LOGIN,VIEW_BALANCE,LOGOUT",1
user_0360,2025-09-04 01:04:27.154991,"LOGIN,ADD_RECIPIENT,TRANSFER_LARGE,LOGOUT",1
